,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,frozenset({'Badusha'}),frozenset({'Papad'}),0.001277139208173691,0.005108556832694764,0.001277139208173691,1.0,195.75,0.0012706148699454729,inf,0.99616368286445
1,frozenset({'Chicken Wings'}),frozenset({'Chicken Popcorn'}),0.001277139208173691,0.002554278416347382,0.001277139208173691,1.0,391.5,0.001273877039059582,inf,0.9987212276214834
2,frozenset({'Chicken Popcorn'}),frozenset({'Chicken Wings'}),0.002554278416347382,0.001277139208173691,0.001277139208173691,0.5,391.5,0.001273877039059582,1.9974457215836525,1.0
3,frozenset({'Kara Boondi'}),frozenset({'Garlic Naan'}),0.001277139208173691,0.0038314176245210726,0.001277139208173691,1.0,261.0,0.0012722459545025273,inf,0.9974424552429666
4,frozenset({'Variety Rice - Tamarind Rice'}),frozenset({'Garlic Naan'}),0.001277139208173691,0.0038314176245210726,0.001277139208173691,1.0,261.0,0.0012722459545025273,inf,0.9974424552429666
5,frozenset({'Masala Tea'}),frozenset({'Green Tea'}),0.001277139208173691,0.006385696040868455,0.001277139208173691,1.0,156.6,0.0012689837853884184,inf,0.9948849104859334
6,frozenset({'Mushroom Pulao'}),frozenset({'Hot & Sour Veg. Soup'}),0.001277139208173691,0.006385696040868455,0.001277139208173691,1.0,156.6,0.0012689837853884184,inf,0.9948849104859334
7,frozenset({'Kashmiri Naan'}),frozenset({'Impossible Veg Kothu Parotta'}),0.001277139208173691,0.12388250319284802,0.001277139208173691,1.0,8.072164948453608,0.0011189240061394022,inf,0.877237851662404
8,frozenset({'Pineapple Rava Kesari'}),frozenset({'Impossible Veg Kothu Parotta'}),0.001277139208173691,0.12388250319284802,0.001277139208173691,1.0,8.072164948453608,0.0011189240061394022,inf,0.877237851662404
9,frozenset({'Rasam Vadai'}),frozenset({'Impossible Veg Kothu Parotta'}),0.002554278416347382,0.12388250319284802,0.001277139208173691,0.5,4.036082474226804,0.0009607088041051137,1.752234993614304,0.7541613316261203
10,frozenset({'Kara Boondi'}),frozenset({'Variety Rice - Tamarind Rice'}),0.001277139208173691,0.001277139208173691,0.001277139208173691,1.0,783.0,0.0012755081236166365,inf,1.0
11,frozenset({'Variety Rice - Tamarind Rice'}),frozenset({'Kara Boondi'}),0.001277139208173691,0.001277139208173691,0.001277139208173691,1.0,783.0,0.0012755081236166365,inf,1.0
12,frozenset({'Kashmiri Naan'}),frozenset({'Pineapple Rava Kesari'}),0.001277139208173691,0.001277139208173691,0.001277139208173691,1.0,783.0,0.0012755081236166365,inf,1.0
13,frozenset({'Pineapple Rava Kesari'}),frozenset({'Kashmiri Naan'}),0.001277139208173691,0.001277139208173691,0.001277139208173691,1.0,783.0,0.0012755081236166365,inf,1.0
14,frozenset({'Omapodi'}),frozenset({'Keerai Vadai'}),0.002554278416347382,0.0038314176245210726,0.001277139208173691,0.5,130.5,0.0012673527008313639,1.9923371647509578,0.9948783610755442
15,frozenset({'Sweet Of the Day'}),frozenset({'Keerai Vadai'}),0.001277139208173691,0.0038314176245210726,0.001277139208173691,1.0,261.0,0.0012722459545025273,inf,0.9974424552429666
16,frozenset({'Mushroom Pepper Fries'}),frozenset({'Paneer Tikka'}),0.001277139208173691,0.002554278416347382,0.001277139208173691,1.0,391.5,0.001273877039059582,inf,0.9987212276214834
17,frozenset({'Paneer Tikka'}),frozenset({'Mushroom Pepper Fries'}),0.002554278416347382,0.001277139208173691,0.001277139208173691,0.5,391.5,0.001273877039059582,1.9974457215836525,1.0
18,frozenset({'Omapodi'}),frozenset({'Sweet Of the Day'}),0.002554278416347382,0.001277139208173691,0.001277139208173691,0.5,391.5,0.001273877039059582,1.9974457215836525,1.0
19,frozenset({'Sweet Of the Day'}),frozenset({'Omapodi'}),0.001277139208173691,0.002554278416347382,0.001277139208173691,1.0,391.5,0.001273877039059582,inf,0.9987212276214834
20,frozenset({'Rasamalai'}),frozenset({'Rasam'}),0.001277139208173691,0.024265644955300127,0.001277139208173691,1.0,41.21052631578947,0.0012461486015896551,inf,0.9769820971867008
21,"frozenset({'Impossible Veg Kothu Parotta', 'Cream Of Tomato Soup'})",frozenset({'Impossible Schezwan Fried Rice'}),0.002554278416347382,0.04980842911877394,0.001277139208173691,0.5,10.038461538461538,0.0011499146127234383,1.9003831417624522,0.9026888604353392
22,"frozenset({'Cream Of Tomato Soup', 'Impossible Schezwan Fried Rice'})",frozenset({'Impossible Veg Kothu Parotta'}),0.001277139208173691,0.12388250319284802,0.001277139208173691,1.0,8.072164948453608,0.0011189240061394022,inf,0.877237851662404
23,"frozenset({'Cream Of Tomato Soup', 'Impossible Vegetable Omelette'})",frozenset({'Impossible Schezwan Fried Rice'}),0.001277139208173691,0.04980842911877394,0.001277139208173691,1.0,20.076923076923077,0.0012135269104485646,inf,0.9514066496163682
24,"frozenset({'Cream Of Tomato Soup', 'Impossible Schezwan Fried Rice'})",frozenset({'Impossible Vegetable Omelette'}),0.001277139208173691,0.019157088122605363,0.001277139208173691,1.0,52.2,0.001252672939817873,inf,0.9820971867007672
25,"frozenset({'Impossible Vegetable Omelette', 'Impossible Schezwan Fried Rice'})",frozenset({'Cream Of Tomato Soup'}),0.001277139208173691,0.006385696040868455,0.001277139208173691,1.0,156.6,0.0012689837853884184,inf,0.9948849104859334
26,"frozenset({'Impossible Veg Kothu Parotta', 'Cream Of Tomato Soup'})",frozenset({'Impossible Vegetable Omelette'}),0.002554278416347382,0.019157088122605363,0.001277139208173691,0.5,26.1,0.0012282066714620554,1.9616858237547892,0.9641485275288092
27,"frozenset({'Impossible Veg Kothu Parotta', 'Impossible Vegetable Omelette'})",frozenset({'Cream Of Tomato Soup'}),0.001277139208173691,0.006385696040868455,0.001277139208173691,1.0,156.6,0.0012689837853884184,inf,0.9948849104859334
28,"frozenset({'Cream Of Tomato Soup', 'Impossible Vegetable Omelette'})",frozenset({'Impossible Veg Kothu Parotta'}),0.001277139208173691,0.12388250319284802,0.001277139208173691,1.0,8.072164948453608,0.0011189240061394022,inf,0.877237851662404
29,"frozenset({'Impossible Veg Kothu Parotta', 'Cream Of Vegetable Soup'})",frozenset({'Impossible Vegetable Laba'}),0.001277139208173691,0.21839080459770116,0.001277139208173691,1.0,4.578947368421052,0.0009982237489173677,inf,0.782608695652174
30,"frozenset({'Cream Of Vegetable Soup', 'Impossible Vegetable Laba'})",frozenset({'Impossible Veg Kothu Parotta'}),0.001277139208173691,0.12388250319284802,0.001277139208173691,1.0,8.072164948453608,0.0011189240061394022,inf,0.877237851662404
31,"frozenset({'Kara Boondi', 'Garlic Naan'})",frozenset({'Variety Rice - Tamarind Rice'}),0.001277139208173691,0.001277139208173691,0.001277139208173691,1.0,783.0,0.0012755081236166365,inf,1.0
32,"frozenset({'Kara Boondi', 'Variety Rice - Tamarind Rice'})",frozenset({'Garlic Naan'}),0.001277139208173691,0.0038314176245210726,0.001277139208173691,1.0,261.0,0.0012722459545025273,inf,0.9974424552429666
33,"frozenset({'Garlic Naan', 'Variety Rice - Tamarind Rice'})",frozenset({'Kara Boondi'}),0.001277139208173691,0.001277139208173691,0.001277139208173691,1.0,783.0,0.0012755081236166365,inf,1.0
34,frozenset({'Kara Boondi'}),"frozenset({'Garlic Naan', 'Variety Rice - Tamarind Rice'})",0.001277139208173691,0.001277139208173691,0.001277139208173691,1.0,783.0,0.0012755081236166365,inf,1.0
35,frozenset({'Variety Rice - Tamarind Rice'}),"frozenset({'Kara Boondi', 'Garlic Naan'})",0.001277139208173691,0.001277139208173691,0.001277139208173691,1.0,783.0,0.0012755081236166365,inf,1.0
36,"frozenset({'Impossible Veg Kothu Parotta', 'Impossible Vegetable Omelette'})",frozenset({'Impossible Schezwan Fried Rice'}),0.001277139208173691,0.04980842911877394,0.001277139208173691,1.0,20.076923076923077,0.0012135269104485646,inf,0.9514066496163682
37,"frozenset({'Impossible Vegetable Omelette', 'Impossible Schezwan Fried Rice'})",frozenset({'Impossible Veg Kothu Parotta'}),0.001277139208173691,0.12388250319284802,0.001277139208173691,1.0,8.072164948453608,0.0011189240061394022,inf,0.877237851662404
38,"frozenset({'Impossible Veg Kothu Parotta', 'Kashmiri Naan'})",frozenset({'Pineapple Rava Kesari'}),0.001277139208173691,0.001277139208173691,0.001277139208173691,1.0,783.0,0.0012755081236166365,inf,1.0
39,"frozenset({'Impossible Veg Kothu Parotta', 'Pineapple Rava Kesari'})",frozenset({'Kashmiri Naan'}),0.001277139208173691,0.001277139208173691,0.001277139208173691,1.0,783.0,0.0012755081236166365,inf,1.0
40,"frozenset({'Kashmiri Naan', 'Pineapple Rava Kesari'})",frozenset({'Impossible Veg Kothu Parotta'}),0.001277139208173691,0.12388250319284802,0.001277139208173691,1.0,8.072164948453608,0.0011189240061394022,inf,0.877237851662404
41,frozenset({'Kashmiri Naan'}),"frozenset({'Impossible Veg Kothu Parotta', 'Pineapple Rava Kesari'})",0.001277139208173691,0.001277139208173691,0.001277139208173691,1.0,783.0,0.0012755081236166365,inf,1.0
42,frozenset({'Pineapple Rava Kesari'}),"frozenset({'Impossible Veg Kothu Parotta', 'Kashmiri Naan'})",0.001277139208173691,0.001277139208173691,0.001277139208173691,1.0,783.0,0.0012755081236166365,inf,1.0
43,"frozenset({'Omapodi', 'Sweet Of the Day'})",frozenset({'Keerai Vadai'}),0.001277139208173691,0.0038314176245210726,0.001277139208173691,1.0,261.0,0.0012722459545025273,inf,0.9974424552429666
44,"frozenset({'Omapodi', 'Keerai Vadai'})",frozenset({'Sweet Of the Day'}),0.001277139208173691,0.001277139208173691,0.001277139208173691,1.0,783.0,0.0012755081236166365,inf,1.0
45,"frozenset({'Sweet Of the Day', 'Keerai Vadai'})",frozenset({'Omapodi'}),0.001277139208173691,0.002554278416347382,0.001277139208173691,1.0,391.5,0.001273877039059582,inf,0.9987212276214834
46,frozenset({'Omapodi'}),"frozenset({'Sweet Of the Day', 'Keerai Vadai'})",0.002554278416347382,0.001277139208173691,0.001277139208173691,0.5,391.5,0.001273877039059582,1.9974457215836525,1.0
47,frozenset({'Sweet Of the Day'}),"frozenset({'Omapodi', 'Keerai Vadai'})",0.001277139208173691,0.001277139208173691,0.001277139208173691,1.0,783.0,0.0012755081236166365,inf,1.0
48,"frozenset({'Impossible Veg Kothu Parotta', 'Cream Of Tomato Soup', 'Impossible Vegetable Omelette'})",frozenset({'Impossible Schezwan Fried Rice'}),0.001277139208173691,0.04980842911877394,0.001277139208173691,1.0,20.076923076923077,0.0012135269104485646,inf,0.9514066496163682
49,"frozenset({'Impossible Veg Kothu Parotta', 'Cream Of Tomato Soup', 'Impossible Schezwan Fried Rice'})",frozenset({'Impossible Vegetable Omelette'}),0.001277139208173691,0.019157088122605363,0.001277139208173691,1.0,52.2,0.001252672939817873,inf,0.9820971867007672
50,"frozenset({'Impossible Veg Kothu Parotta', 'Impossible Vegetable Omelette', 'Impossible Schezwan Fried Rice'})",frozenset({'Cream Of Tomato Soup'}),0.001277139208173691,0.006385696040868455,0.001277139208173691,1.0,156.6,0.0012689837853884184,inf,0.9948849104859334
51,"frozenset({'Cream Of Tomato Soup', 'Impossible Schezwan Fried Rice', 'Impossible Vegetable Omelette'})",frozenset({'Impossible Veg Kothu Parotta'}),0.001277139208173691,0.12388250319284802,0.001277139208173691,1.0,8.072164948453608,0.0011189240061394022,inf,0.877237851662404
52,"frozenset({'Impossible Veg Kothu Parotta', 'Cream Of Tomato Soup'})","frozenset({'Impossible Vegetable Omelette', 'Impossible Schezwan Fried Rice'})",0.002554278416347382,0.001277139208173691,0.001277139208173691,0.5,391.5,0.001273877039059582,1.9974457215836525,1.0
53,"frozenset({'Impossible Veg Kothu Parotta', 'Impossible Vegetable Omelette'})","frozenset({'Cream Of Tomato Soup', 'Impossible Schezwan Fried Rice'})",0.001277139208173691,0.001277139208173691,0.001277139208173691,1.0,783.0,0.0012755081236166365,inf,1.0
54,"frozenset({'Cream Of Tomato Soup', 'Impossible Vegetable Omelette'})","frozenset({'Impossible Veg Kothu Parotta', 'Impossible Schezwan Fried Rice'})",0.001277139208173691,0.005108556832694764,0.001277139208173691,1.0,195.75,0.0012706148699454729,inf,0.99616368286445
55,"frozenset({'Cream Of Tomato Soup', 'Impossible Schezwan Fried Rice'})","frozenset({'Impossible Veg Kothu Parotta', 'Impossible Vegetable Omelette'})",0.001277139208173691,0.001277139208173691,0.001277139208173691,1.0,783.0,0.0012755081236166365,inf,1.0
56,"frozenset({'Impossible Vegetable Omelette', 'Impossible Schezwan Fried Rice'})","frozenset({'Impossible Veg Kothu Parotta', 'Cream Of Tomato Soup'})",0.001277139208173691,0.002554278416347382,0.001277139208173691,1.0,391.5,0.001273877039059582,inf,0.9987212276214834
